dup_id,canonical_id,rule,score
CHEMBL154,CHEMBL12952,InChIKeyFull,1.0
CHEMBL1618254,CHEMBL12952,InChIKeyFull,1.0
CHEMBL258893,CHEMBL13045,InChIKeyFull,1.0
CHEMBL131650,CHEMBL130742,InChIKeyFull,1.0
CHEMBL2093943,CHEMBL131724,InChIKeyFull,1.0
CHEMBL285843,CHEMBL1319383,InChIKeyFull,1.0
CHEMBL33567,CHEMBL1319383,InChIKeyFull,1.0
CHEMBL408083,CHEMBL132314,InChIKeyFull,1.0
CHEMBL408330,CHEMBL132314,InChIKeyFull,1.0
CHEMBL5266148,CHEMBL132586,InChIKeyFull,1.0
CHEMBL1783879,CHEMBL132966,InChIKeyFull,1.0
CHEMBL43184,CHEMBL1330022,InChIKeyFull,1.0
CHEMBL790,CHEMBL1330113,InChIKeyFull,1.0
CHEMBL4082879,CHEMBL1334465,InChIKeyFull,1.0
CHEMBL334369,CHEMBL133719,InChIKeyFull,1.0
CHEMBL276815,CHEMBL13378,InChIKeyFull,1.0
CHEMBL1677,CHEMBL1337960,InChIKeyFull,1.0
CHEMBL95,CHEMBL1337960,InChIKeyFull,1.0
CHEMBL1520,CHEMBL1339,InChIKeyFull,1.0
CHEMBL274130,CHEMBL13396,InChIKeyFull,1.0
