a,b,rule,fp
CHEMBL262805,CHEMBL318352,FP,1.0
CHEMBL318352,CHEMBL107627,FP,1.0
CHEMBL318352,CHEMBL262805,FP,1.0
CHEMBL1076300,CHEMBL1079918,FP,1.0
CHEMBL1079918,CHEMBL1076300,FP,1.0
CHEMBL1076624,CHEMBL1076625,FP,1.0
CHEMBL1076625,CHEMBL1076624,FP,1.0
CHEMBL4863295,CHEMBL1076638,FP,1.0
CHEMBL1076638,CHEMBL4863295,FP,1.0
CHEMBL5316216,CHEMBL1076903,FP,1.0
CHEMBL1076903,CHEMBL5316216,FP,1.0
CHEMBL65917,CHEMBL294372,FP,1.0
CHEMBL65917,CHEMBL107705,FP,1.0
CHEMBL294372,CHEMBL65917,FP,1.0
CHEMBL294372,CHEMBL107705,FP,1.0
CHEMBL107705,CHEMBL65917,FP,1.0
CHEMBL107705,CHEMBL294372,FP,1.0
CHEMBL1077120,CHEMBL4444241,FP,1.0
CHEMBL1077120,CHEMBL1208572,FP,1.0
CHEMBL1077120,CHEMBL4525943,FP,1.0
CHEMBL4444241,CHEMBL1077120,FP,1.0
CHEMBL4444241,CHEMBL1208572,FP,1.0
CHEMBL4444241,CHEMBL4525943,FP,1.0
CHEMBL1208572,CHEMBL1077120,FP,1.0
CHEMBL1208572,CHEMBL4444241,FP,1.0
CHEMBL1208572,CHEMBL4525943,FP,1.0
CHEMBL4525943,CHEMBL1077120,FP,1.0
CHEMBL4525943,CHEMBL4444241,FP,1.0
CHEMBL4525943,CHEMBL1208572,FP,1.0
CHEMBL1077310,CHEMBL1077309,FP,1.0
CHEMBL1077309,CHEMBL1077310,FP,1.0
CHEMBL107742,CHEMBL320597,FP,1.0
CHEMBL320597,CHEMBL107742,FP,1.0
CHEMBL1801950,CHEMBL1668411,FP,1.0
CHEMBL1801950,CHEMBL1077979,FP,1.0
CHEMBL1801950,CHEMBL3590108,FP,1.0
CHEMBL1668411,CHEMBL1801950,FP,1.0
CHEMBL1668411,CHEMBL1077979,FP,1.0
CHEMBL1668411,CHEMBL3590108,FP,1.0
CHEMBL1077979,CHEMBL1801950,FP,1.0
CHEMBL1077979,CHEMBL1668411,FP,1.0
CHEMBL1077979,CHEMBL3590108,FP,1.0
CHEMBL3590108,CHEMBL1801950,FP,1.0
CHEMBL3590108,CHEMBL1668411,FP,1.0
CHEMBL3590108,CHEMBL1077979,FP,1.0
CHEMBL1080787,CHEMBL1078170,FP,1.0
CHEMBL1078170,CHEMBL1080787,FP,1.0
CHEMBL516292,CHEMBL1078411,FP,1.0
CHEMBL1078411,CHEMBL516292,FP,1.0
CHEMBL501533,CHEMBL1078503,FP,1.0
CHEMBL1078503,CHEMBL501533,FP,1.0
CHEMBL4635254,CHEMBL1079175,FP,1.0
CHEMBL1079175,CHEMBL4635254,FP,1.0
CHEMBL1081580,CHEMBL1081409,FP,1.0
CHEMBL1081580,CHEMBL1079481,FP,1.0
CHEMBL1081409,CHEMBL1081580,FP,1.0
CHEMBL1081409,CHEMBL1079481,FP,1.0
CHEMBL1079481,CHEMBL1081580,FP,1.0
CHEMBL1079481,CHEMBL1081409,FP,1.0
CHEMBL1080165,CHEMBL1079497,FP,1.0
CHEMBL1080165,CHEMBL1080164,FP,1.0
CHEMBL1079497,CHEMBL1080165,FP,1.0
CHEMBL1079497,CHEMBL1080164,FP,1.0
CHEMBL1080164,CHEMBL1080165,FP,1.0
CHEMBL1080164,CHEMBL1079497,FP,1.0
CHEMBL4451232,CHEMBL107955,FP,1.0
CHEMBL4451232,CHEMBL108468,FP,1.0
CHEMBL107955,CHEMBL4451232,FP,1.0
CHEMBL107955,CHEMBL108468,FP,1.0
CHEMBL108468,CHEMBL4451232,FP,1.0
CHEMBL108468,CHEMBL107955,FP,1.0
CHEMBL1079552,CHEMBL1079553,FP,1.0
CHEMBL1079553,CHEMBL1079552,FP,1.0
CHEMBL2000393,CHEMBL1079593,FP,1.0
CHEMBL1079593,CHEMBL2000393,FP,1.0
CHEMBL553,CHEMBL1079742,FP,1.0
CHEMBL1079742,CHEMBL553,FP,1.0
CHEMBL1079824,CHEMBL1079822,FP,1.0
CHEMBL1079824,CHEMBL1079823,FP,1.0
CHEMBL1079822,CHEMBL1079824,FP,1.0
CHEMBL1079822,CHEMBL1079823,FP,1.0
CHEMBL1079823,CHEMBL1079824,FP,1.0
CHEMBL1079823,CHEMBL1079822,FP,1.0
CHEMBL1080243,CHEMBL1079901,FP,1.0
CHEMBL1079901,CHEMBL1080243,FP,1.0
CHEMBL1080293,CHEMBL1081685,FP,1.0
CHEMBL1081685,CHEMBL1080293,FP,1.0
CHEMBL1080583,CHEMBL215919,FP,1.0
CHEMBL215919,CHEMBL1080583,FP,1.0
CHEMBL1080683,CHEMBL2447969,FP,1.0
